8,9,10,14,18,26,27,28,0,0
9,10,14,18,26,27,28,0,0,0
10,14,18,26,27,28,0,0,0,0
14,18,26,27,28,0,0,0,0,0
18,26,27,28,0,0,0,0,0,0
26,27,28,0,0,0,0,0,0,0
27,28,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0
8,9,10,11,12,14,15,16,17,19
9,10,11,12,14,15,16,17,19,20
10,11,12,14,15,16,17,19,20,21
11,12,14,15,16,17,19,20,21,25
12,14,15,16,17,19,20,21,25,26
14,15,16,17,19,20,21,25,26,27
15,16,17,19,20,21,25,26,27,33
16,17,19,20,21,25,26,27,33,34
17,19,20,21,25,26,27,33,34,35
19,20,21,25,26,27,33,34,35,36
20,21,25,26,27,33,34,35,36,0
21,25,26,27,33,34,35,36,0,0
25,26,27,33,34,35,36,0,0,0
26,27,33,34,35,36,0,0,0,0
27,33,34,35,36,0,0,0,0,0
33,34,35,36,0,0,0,0,0,0
